iter	Passed	Remaining
0	2	271
1	4	236
2	6	217
3	9	223
4	14	269
5	19	299
6	22	297
7	32	375
8	35	359
9	38	346
10	44	358
11	48	352
12	63	423
13	71	440
14	76	434
15	79	416
16	83	409
17	86	394
18	89	383
19	93	372
20	99	373
21	102	362
22	114	382
23	116	370
24	119	358
25	122	349
26	125	340
27	130	336
28	134	330
29	139	324
30	144	321
31	148	315
32	152	308
33	154	299
34	156	290
35	158	281
36	160	273
37	163	266
38	167	262
39	170	255
40	172	247
41	173	239
42	175	232
43	177	225
44	180	220
45	183	215
46	185	208
47	187	203
48	190	198
49	192	192
50	197	189
51	200	184
52	203	180
53	209	178
54	211	172
55	213	167
56	215	162
57	217	157
58	220	153
59	222	148
60	225	144
61	228	139
62	230	135
63	232	130
64	235	127
65	239	123
66	241	119
67	244	114
68	246	110
69	248	106
70	250	102
71	252	98
72	255	94
73	257	90
74	259	86
75	261	82
76	263	78
77	265	74
78	267	71
79	269	67
80	271	63
81	273	60
82	275	56
83	277	52
84	279	49
85	281	45
86	284	42
87	286	39
88	289	35
89	292	32
90	296	29
91	298	25
92	301	22
93	303	19
94	305	16
95	307	12
96	309	9
97	311	6
98	313	3
99	315	0
